k=5 type 0: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 1: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, -1, 0], [1, 0, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 2: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 3: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 4: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 5: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 6: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, -1], [1, -1, 0, 0, 1], [1, 0, 0, 0, 0])
k=5 type 7: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, -1, 1, -1], [1, 0, 0, 0, 0])
k=5 type 8: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 0, 1, 0], [1, 0, -1, 1, 0])
k=5 type 9: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 10: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, -1, 0, 0], [1, 0, 0, 0, 0])
k=5 type 11: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 12: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 13: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 14: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 15: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 0, 0], [1, 0, 0, -1, 0])
k=5 type 16: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 17: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, 0], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, 1, 1, -1], [1, 0, 0, 0, 0])
k=5 type 18: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 19: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, -1, 1, -1], [1, 0, 0, 0, -1])
k=5 type 20: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 21: YES ([0, 0, 0, 0, 1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, -1, 0], [1, 0, 0, 0, -1])
k=5 type 22: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 23: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, -1, 1, 0], [1, 0, 0, 0, 0])
k=5 type 24: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 25: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 26: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, 0], [1, 0, 0, 1, 0])
k=5 type 27: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 1, -1], [1, -1, 0, 0, 0], [1, 0, 0, 1, -1])
k=5 type 28: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, 0, 0, 0], [1, -1, 0, 1, -1], [1, 0, -1, 1, -1])
k=5 type 29: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, -1, 1, 0], [1, -1, 0, 0, 0], [1, 0, 0, 0, 0])
k=5 type 30: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, 0, 0], [1, 0, 1, 0, 0])
k=5 type 31: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 1, -1, 0], [1, 0, 1, -1, 0])
k=5 type 32: YES ([0, 0, 0, 0, 1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [0, 1, 0, 0, 0], [1, 0, 0, -1, 1], [1, 0, 0, 0, 0])
k=5 type 33: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, 0, 0], [0, 1, 0, 0, 0], [1, -1, 1, -1, 0], [1, 0, 0, 0, 0])
k=5 type 34: YES ([0, 0, 0, 0, 1], [0, 0, 0, 1, -1], [0, 0, 1, -1, 0], [0, 1, -1, 0, 0], [1, -1, 0, 1, -1], [1, 0, 0, 1, -1])
