repo	branch	default	ahead	behind	merged_via_pr	open_pr	last_commit_age
remex	claude/auto-device-routing	main	0	1	68|MERGED|2026-05-08T03:15:13Z		2026-05-08T03:13:37Z
remex	claude/gpu-perf-rt-corpus	main	0	5	66|MERGED|2026-05-08T02:19:44Z		2026-05-08T02:15:27Z
remex	claude/implement-issue-34	main	0	49	35|MERGED|2026-04-21T15:47:21Z		2026-04-21T15:13:40Z
remex	claude/implement-issues-16-23-Mz1OS	main	0	72	29|MERGED|2026-04-04T13:30:45Z		2026-04-04T01:15:32Z
remex	claude/implement-remex-issue-41-rHeOv	main	0	37	47|MERGED|2026-05-01T14:00:47Z		2026-05-01T13:56:55Z
remex	claude/issue-12-IoOXq	main	1	80	13|MERGED|2026-04-03T03:07:35Z		2026-04-03T03:09:31Z
remex	claude/issue-60-narrow-cache-VwNbv	main	0	13	62|MERGED|2026-05-02T21:40:48Z		2026-05-02T21:28:19Z
remex	claude/onebit-matryoshka-coverage	main	0	25	56|MERGED|2026-05-02T04:35:06Z		2026-05-02T04:10:41Z
remex	claude/revert-encode-rt-keep-corpus	main	0	3	67|MERGED|2026-05-08T02:53:03Z		2026-05-08T02:51:03Z
remex	docs/canonical-references	main	0	55	33|MERGED|2026-04-06T14:22:02Z		2026-04-06T14:15:54Z
remex	docs/results-pr51	main	0	24	54|MERGED|2026-05-02T03:28:10Z		2026-05-02T03:26:07Z
remex	feat/bit-packing	main	0	106	9|MERGED|2026-04-02T18:24:27Z		2026-04-02T17:28:57Z
remex	feat/calibrate	main	1	113	8|MERGED|2026-04-02T16:47:37Z		2026-04-02T17:00:12Z
remex	feat/matryoshka-bits	main	0	101	10|MERGED|2026-04-02T20:40:56Z		2026-04-02T20:01:44Z
remex	feat/real-embedding-eval	main	0	129	6|MERGED|2026-04-02T14:20:28Z		2026-04-02T11:55:52Z
remex	fix/complete-rename	main	0	86	11|MERGED|2026-04-02T23:19:24Z		2026-04-02T23:18:12Z
remex	refactor/mojo-out-of-python-pkg	main	7	23	55|OPEN|	refactor/mojo-out-of-python-pkg	2026-05-02T03:41:55Z
remex	rename/polar-embed	main	0	119	7|MERGED|2026-04-02T15:40:46Z		2026-04-02T14:15:51Z
claude-skills	add-generative-thinking	main	1	175	550|MERGED|2026-04-17T17:29:14Z		2026-04-17T17:28:06Z
claude-skills	add-tracking-todos	main	4	151	556|MERGED|2026-04-19T14:04:04Z		2026-04-19T13:55:37Z
claude-skills	auto/sync-remembering-20260509-0605	main	1	72	631|CLOSED|		2026-05-09T06:05:06Z
claude-skills	auto/sync-remembering-20260510-0619	main	1	63	638|CLOSED|		2026-05-10T06:19:04Z
