status	repo	branch
ok	remex	claude/auto-device-routing
ok	remex	claude/gpu-perf-rt-corpus
ok	remex	claude/implement-issue-34
ok	remex	claude/implement-issues-16-23-Mz1OS
ok	remex	claude/implement-remex-issue-41-rHeOv
ok	remex	claude/issue-12-IoOXq
ok	remex	claude/issue-60-narrow-cache-VwNbv
ok	remex	claude/onebit-matryoshka-coverage
ok	remex	claude/revert-encode-rt-keep-corpus
ok	remex	docs/canonical-references
ok	remex	docs/results-pr51
ok	remex	feat/bit-packing
ok	remex	feat/calibrate
ok	remex	feat/matryoshka-bits
ok	remex	feat/real-embedding-eval
ok	remex	fix/complete-rename
ok	remex	rename/polar-embed
ok	claude-skills	add-generative-thinking
ok	claude-skills	add-tracking-todos
ok	claude-skills	auto/sync-remembering-20260509-0605
ok	claude-skills	auto/sync-remembering-20260510-0619
ok	claude-skills	boot-env-fallback
ok	claude-skills	boot-telemetry
ok	claude-skills	claude/add-uploading-files-skill
ok	claude-skills	claude/fix-flowing-issues-sdF2H
ok	claude-skills	claude/fix-marketplace-caching-JuPPm
ok	claude-skills	claude/fix-restore-token-leak
ok	claude-skills	claude/fix-skills-display-wk97l
ok	claude-skills	claude/flowing-add-readme
ok	claude-skills	claude/flowing-graph-utils-616
ok	claude-skills	claude/flowing-skill-md-restructure
ok	claude-skills	claude/implement-issue-576-PErOX
ok	claude-skills	claude/invoking-antigravity-skill
ok	claude-skills	claude/muninn-utils-mac-sync
ok	claude-skills	claude/resolve-issue-512-DNckZ
ok	claude-skills	exploring-codebases-phase0-and-batching
ok	claude-skills	feat/add-missing-readmes
ok	claude-skills	feat/boot-task-528
ok	claude-skills	feat/c-language-support
ok	claude-skills	feat/gemini-image-gen-docs
ok	claude-skills	feat/issue-494-mode-pipeline-stroke-params
ok	claude-skills	feat/lattice-map-integration
ok	claude-skills	feat/semiformal-model-routing
ok	claude-skills	feat/svg-portrait-mode-v0.4.0-hybrid
ok	claude-skills	feat/svg-portrait-mode-v0.4.0-opus
ok	claude-skills	feat/svg-portrait-mode-v0.4.0
ok	claude-skills	feat/tree-sitting
ok	claude-skills	fix/release-scripts-surface-yaml-errors
ok	claude-skills	fix/retr-ccomp-hole-composition
ok	claude-skills	fix/webctl-skill-drift
ok	claude-skills	muninn/finding-skills
ok	claude-skills	muninn/layer-date-prefix
ok	claude-skills	orchestrating-agents-v0.4.0
ok	claude-skills	perf/is-superseded-column
ok	claude-skills	skill/semantic-grep
ok	claude-skills	skill-upload/writing-instructions-24039060220
ok	claude-skills	treesit-cli-and-cross-process-fix
ok	claude-workspace	claude/affectionate-allen-GFDV9
already	claude-workspace	claude/assess-boot-results-2DHQZ
ok	claude-workspace	claude/debug-gvisor-kernel-issues-d2nMP
ok	claude-workspace	claude/gemini-embedding-store-qcn12
ok	claude-workspace	claude/implement-issue-80-3V3J9
ok	claude-workspace	claude/inbox-check-schedule-GPYsE
ok	claude-workspace	claude/refactor-skill-subagents-GPhea
ok	claude-workspace	claude/review-tipsv2-model-0cB3I
ok	claude-workspace	claude/test-thinking-traces-eval-3o2mZ
ok	claude-workspace	claude/zen-bardeen-AfruJ
ok	claude-workspace	upload-3a41349a4190
ok	claude-workspace	upload-922f9834ee2b
ok	oaustegard.github.io	blog/claude-conversation-cache
ok	oaustegard.github.io	blog/hub-spoke-and-raven
ok	oaustegard.github.io	blog/jj-native-hub
ok	oaustegard.github.io	claude/support-any-feed-type-0GSPW
ok	oaustegard.github.io	feat/ai-disclosure-meta
ok	oaustegard.github.io	feat/strudel-composer
ok	oaustegard.github.io	fix/blog-deploy-race
ok	oaustegard.github.io	fix/strudel-composer-iframe
ok	oaustegard.github.io	fix/strudel-composer-redirect
ok	oaustegard.github.io	tap-localizer-v0.2-rebased
ok	oaustegard.github.io	tap-localizer-v0.2
ok	browser-extensions	claude/conversation-backup-system-TOeIt
ok	browser-extensions	claude/fix-capture-clear-popup-YzII4
ok	browser-extensions	claude/improve-data-display-D4JS8
ok	browser-extensions	claude/update-bsky-extension-KFTOW
ok	bookmarklets	claude/add-bookmarklet-metadata-0143aoEjauwwSKCp7dNrshKx
ok	bookmarklets	claude/auto-load-more-scraper-CF3Ii
ok	bookmarklets	claude/fix-remembering-skill-issues-6xGM0
ok	bookmarklets	claude/github-ai-readme-action-beNGA
ok	bookmarklets	claude/speed-reading-bookmarklet-d31RL
ok	bookmarklets	claude/update-org-id-snippet-EUeH8
ok	bookmarklets	copilot/document-observer-bookmarklet
ok	bookmarklets	feat/markdown-renderer-bookmarklet
ok	muninn.austegard.com	auto/update-tools-index-20260511-0651
ok	muninn.austegard.com	auto/update-tools-index-20260512-0631
ok	muninn.austegard.com	auto/update-tools-index-20260513-0639
ok	muninn.austegard.com	auto/update-tools-index-20260514-0638
ok	muninn.austegard.com	auto/update-tools-index-20260515-0645
ok	muninn.austegard.com	auto/update-tools-index-20260516-0627
ok	muninn.austegard.com	auto/update-tools-index-20260517-0636
ok	muninn.austegard.com	auto/update-tools-index-20260518-0659
ok	muninn.austegard.com	auto/update-tools-index-20260519-0655
ok	muninn.austegard.com	auto/update-tools-index-20260520-0655
ok	muninn.austegard.com	auto/update-tools-index-20260521-0658
ok	muninn.austegard.com	auto/update-tools-index-20260522-0655
ok	muninn.austegard.com	auto/update-tools-index-20260524-0648
ok	muninn.austegard.com	auto/update-tools-index-20260525-0701
ok	muninn.austegard.com	blog-x4-honest-closing
ok	muninn.austegard.com	claude/blog-i-dont-have-a-watch
ok	claude-container-layers	claude/per-layer-retention-a4f0ea8f
ok	claude-container-layers	demo-tips-portrait-mode
ok	eml-sr	claude/implement-eml-7-amkg4
