# search: n=10 p_edge=0.4 trials=2000
seed=215 n=10 tau=3 nu=3
seed=295 n=10 tau=3 nu=3
seed=426 n=10 tau=3 nu=3
seed=562 n=10 tau=3 nu=3
seed=569 n=10 tau=3 nu=3
seed=652 n=10 tau=3 nu=3
seed=691 n=10 tau=3 nu=3
seed=846 n=10 tau=3 nu=3
seed=1026 n=10 tau=3 nu=3
seed=1056 n=10 tau=3 nu=3
seed=1076 n=10 tau=3 nu=3
seed=1132 n=10 tau=3 nu=3
seed=1135 n=10 tau=3 nu=3
seed=1261 n=10 tau=3 nu=3
seed=1281 n=10 tau=3 nu=3
seed=1314 n=10 tau=3 nu=3
seed=1952 n=10 tau=3 nu=3
# final stats: {'trials': 2000, 'not_dag_or_empty': 0, 'source_sink_connected': 541, 'single_source_or_sink': 520, 'tau_lt_3': 922, 'checked': 17, 'counterexamples': []}
